Species,Block,Latitude,Longitude,AddressAccuracy,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Month,Day,Tavg_Lag7,DewPoint_Lag7,WetBulb_Lag7,PrecipTotal_Lag7,SeaLevel_Lag7,Tavg_Lag14,DewPoint_Lag14,WetBulb_Lag14,PrecipTotal_Lag14,SeaLevel_Lag14,Tavg_Lag21,DewPoint_Lag21,WetBulb_Lag21,PrecipTotal_Lag21,SeaLevel_Lag21,Tavg_Lag28,DewPoint_Lag28,WetBulb_Lag28,PrecipTotal_Lag28,SeaLevel_Lag28,Tavg_Lag35,DewPoint_Lag35,WetBulb_Lag35,PrecipTotal_Lag35,SeaLevel_Lag35
CULEX PIPIENS/RESTUANS,55,41.794781,-87.615989,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX TERRITANS,55,41.794781,-87.615989,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,64,41.778748,-87.586427,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,71,41.766202,-87.562889,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,71,41.766202,-87.562889,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,77,41.754676,-87.612922,9,1,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,77,41.754676,-87.612922,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,40,41.821582,-87.627796,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,40,41.821582,-87.627796,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,50,41.803423,-87.642984,8,1,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,50,41.803423,-87.642984,8,1,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,79,41.754292,-87.590773,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,79,41.754292,-87.590773,9,1,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,52,41.798697,-87.736812,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,52,41.798697,-87.736812,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX TERRITANS,52,41.798697,-87.736812,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,63,41.776156,-87.778927,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,63,41.776156,-87.778927,9,1,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX SALINARIUS,63,41.776156,-87.778927,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,37,41.82561,-87.726549,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,37,41.82561,-87.726549,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,80,41.74785,-87.702716,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX TERRITANS,80,41.74785,-87.702716,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,65,41.775051,-87.655356,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,65,41.775051,-87.655356,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,82,41.644612,-87.604498,5,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,82,41.644612,-87.604498,5,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,89,41.733643,-87.55551,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,89,41.733643,-87.55551,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,98,41.717753,-87.531657,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,98,41.717753,-87.531657,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,58,41.984809,-87.728492,8,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,66,41.772846,-87.740029,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,66,41.772846,-87.740029,9,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,81,41.825902,-87.667827,5,0,80,69,75,67,69,0.24,29.11,29.82,5.8,25,7.1,8,24,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,12,41.673408,-87.599862,5,1,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS/RESTUANS,12,41.673408,-87.599862,5,1,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,1,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,75.0,67.0,69.0,0.24,29.82
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,0,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
CULEX PIPIENS,12,41.673408,-87.599862,5,1,91,67,79,66,70,0.00,29.28,29.99,9.0,20,9.5,8,28,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99,79.0,66.0,70.0,0.00,29.99
